Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
16-05-2010,Albury,1.7,17.5,0,NA,NA,ESE,13,NA,SW,0,4,84,51,1021.6,1018.9,NA,NA,8.2,16.3,No,No
17-05-2010,Albury,4.5,17,0,NA,NA,ESE,48,S,SSE,7,7,92,50,1021.1,1017.9,NA,NA,9.2,16.7,No,No
18-05-2010,Albury,1.6,19.7,0,NA,NA,WNW,17,NNW,WNW,7,9,90,38,1020.9,1018.7,NA,NA,7.4,19.4,No,No
19-05-2010,Albury,1.4,18.5,0,NA,NA,W,28,NA,NW,0,7,86,39,1024.1,1021.3,NA,NA,6.6,18.4,No,No
20-05-2010,Albury,2.1,16.5,0,NA,NA,N,13,NA,WSW,0,4,88,44,1023.8,1020.4,NA,NA,6.8,16.1,No,No
21-05-2010,Albury,1.7,17.9,0,NA,NA,SSE,15,NA,SSE,0,9,92,42,1022.3,1019.3,1,NA,7.6,17.5,No,No
22-05-2010,Albury,1.1,17.1,0,NA,NA,ESE,22,NA,SSE,0,7,76,45,1023.3,1020.5,NA,3,6.3,16.1,No,No
23-05-2010,Albury,0.9,18.1,0,NA,NA,NNW,24,ESE,NNW,4,13,76,35,1023.5,1019.2,NA,NA,6.6,17.8,No,No
24-05-2010,Albury,5.2,16.3,0,NA,NA,ESE,20,ESE,ESE,9,9,74,73,1017.6,1013.3,NA,2,10.3,15,No,Yes
25-05-2010,Albury,10.2,14.9,10.4,NA,NA,E,26,E,SSE,7,7,88,99,1008.7,1005,7,7,13.5,12.8,Yes,Yes
26-05-2010,Albury,8.4,19,13.4,NA,NA,SSE,30,SE,SSE,11,6,71,50,1008.9,1010.1,3,NA,14.9,18.9,Yes,No
27-05-2010,Albury,5.7,16.6,0.2,NA,NA,SSE,11,NA,SSE,0,9,92,59,1019.6,1018,8,8,9.7,16.5,No,No
28-05-2010,Albury,6.4,17,0,NA,NA,ENE,22,NA,NE,0,13,96,63,1019.4,1014.3,8,6,9.4,17,No,Yes
29-05-2010,Albury,9.4,15,28,NA,NA,N,26,E,SE,9,11,99,89,1005.7,1002.8,8,8,12.1,14,Yes,Yes
30-05-2010,Albury,8.8,20.2,5.8,NA,NA,SE,46,SSW,SSE,11,31,99,47,1004.7,1004.8,8,1,10.8,19.6,Yes,No
31-05-2010,Albury,10.7,19.1,0,NA,NA,SSE,48,SSE,SE,19,15,54,48,1015.2,1014.8,NA,NA,15,18.4,No,No
01-06-2010,Albury,4.2,16.6,0,NA,NA,SE,13,NA,SE,0,7,89,58,1020.7,1018.5,NA,NA,8.3,16.1,No,No
02-06-2010,Albury,4.3,17.7,0,NA,NA,W,13,NA,SSW,0,4,93,60,1022.3,1020.6,NA,NA,8.6,16.8,No,No
03-06-2010,Albury,3.4,17.7,0,NA,NA,SSE,17,NA,SE,0,7,79,50,1026.5,1023.5,NA,NA,8.9,17.2,No,No
04-06-2010,Albury,3.1,18.4,0,NA,NA,W,19,NA,W,0,11,82,53,1023.6,1019.4,NA,NA,8.7,18.1,No,No
05-06-2010,Albury,1.7,10.2,0,NA,NA,SW,17,ESE,WSW,7,11,99,84,1018.7,1015.8,8,NA,5.1,8.9,No,No
06-06-2010,Albury,5,15.8,0,NA,NA,SW,13,SE,ENE,7,7,97,61,1020.6,1020.4,8,NA,6.2,14.6,No,No
07-06-2010,Albury,0.4,14,0,NA,NA,S,17,NA,S,0,9,80,50,1026.7,1024.3,NA,2,4.2,13.3,No,No
08-06-2010,Albury,3.1,12.2,0,NA,NA,WNW,19,SSE,WNW,2,11,89,49,1023.7,1019.5,7,7,5.3,11.6,No,No
09-06-2010,Albury,5.3,8.4,0,NA,NA,WNW,37,NNW,WNW,11,13,81,92,1012.9,1011.1,7,8,7.8,7.9,No,Yes
10-06-2010,Albury,4.9,12.9,2.4,NA,NA,W,44,WSW,WSW,15,19,85,57,1021.2,1021.1,NA,6,7.2,12.5,Yes,No
11-06-2010,Albury,7.2,13.2,0,NA,NA,W,28,WSW,WSW,6,13,82,66,1023,1019.7,7,7,9.2,12.8,No,No
